src/app/admin/analytics/page.tsx(40,33): error TS7006: Parameter 'd' implicitly has an 'any' type.
src/application/coupons/use-cases/validate-coupon.use-case.ts(7,43): error TS2307: Cannot find module '@/domain/interfaces/repositories/coupon.repository.interface' or its corresponding type declarations.
src/application/customers/customer.container.ts(5,43): error TS2307: Cannot find module '@/infrastructure/database/repositories/customer.repository' or its corresponding type declarations.
src/application/customers/use-cases/get-or-create-customer.use-case.ts(8,26): error TS2307: Cannot find module '@/domain/entities/customer.entity' or its corresponding type declarations.
src/application/customers/use-cases/get-or-create-customer.use-case.ts(9,45): error TS2307: Cannot find module '@/domain/interfaces/repositories/customer.repository.interface' or its corresponding type declarations.
src/application/dashboard/dashboard.container.ts(7,44): error TS2307: Cannot find module '@/infrastructure/database/repositories/dashboard.repository' or its corresponding type declarations.
src/application/dashboard/use-cases/get-analytics.use-case.ts(10,8): error TS2307: Cannot find module '@/domain/interfaces/repositories/dashboard.repository.interface' or its corresponding type declarations.
src/application/dashboard/use-cases/get-metrics.use-case.ts(10,8): error TS2307: Cannot find module '@/domain/interfaces/repositories/dashboard.repository.interface' or its corresponding type declarations.
src/application/dashboard/use-cases/get-recent-orders.use-case.ts(10,8): error TS2307: Cannot find module '@/domain/interfaces/repositories/dashboard.repository.interface' or its corresponding type declarations.
src/application/dashboard/use-cases/get-sales-trend.use-case.ts(10,8): error TS2307: Cannot find module '@/domain/interfaces/repositories/dashboard.repository.interface' or its corresponding type declarations.
src/application/inventory/use-cases/adjust-stock.use-case.ts(7,46): error TS2307: Cannot find module '@/domain/interfaces/repositories/inventory.repository.interface' or its corresponding type declarations.
src/application/orders/order.container.ts(7,40): error TS2307: Cannot find module '@/infrastructure/database/repositories/order.repository' or its corresponding type declarations.
src/application/orders/use-cases/get-order.use-case.ts(1,29): error TS2307: Cannot find module '@/domain/entities/order.entity' or its corresponding type declarations.
src/application/orders/use-cases/get-order.use-case.ts(2,42): error TS2307: Cannot find module '@/domain/interfaces/repositories/order.repository.interface' or its corresponding type declarations.
src/application/orders/use-cases/get-order.use-case.ts(3,40): error TS2307: Cannot find module '@/domain/exceptions/order-not-found.exception' or its corresponding type declarations.
src/application/orders/use-cases/list-orders.use-case.ts(1,29): error TS2307: Cannot find module '@/domain/entities/order.entity' or its corresponding type declarations.
src/application/orders/use-cases/list-orders.use-case.ts(2,42): error TS2307: Cannot find module '@/domain/interfaces/repositories/order.repository.interface' or its corresponding type declarations.
src/application/orders/use-cases/list-orders.use-case.ts(62,44): error TS7006: Parameter 'order' implicitly has an 'any' type.
src/application/orders/use-cases/update-order-status.use-case.ts(1,42): error TS2307: Cannot find module '@/domain/interfaces/repositories/order.repository.interface' or its corresponding type declarations.
src/application/orders/use-cases/update-order-status.use-case.ts(2,29): error TS2307: Cannot find module '@/domain/value-objects/order-status.value-object' or its corresponding type declarations.
src/application/products/product.container.ts(8,42): error TS2307: Cannot find module '@/infrastructure/database/repositories/product.repository' or its corresponding type declarations.
src/application/products/product.container.ts(9,49): error TS2307: Cannot find module '@/infrastructure/database/repositories/product-variant.repository' or its corresponding type declarations.
src/application/products/product.container.ts(10,47): error TS2307: Cannot find module '@/infrastructure/database/repositories/product-image.repository' or its corresponding type declarations.
src/application/products/use-cases/add-product-image.use-case.ts(8,49): error TS2307: Cannot find module '@/domain/interfaces/repositories/product-image.repository.interface' or its corresponding type declarations.
src/application/products/use-cases/add-product-image.use-case.ts(9,44): error TS2307: Cannot find module '@/domain/interfaces/repositories/product.repository.interface' or its corresponding type declarations.
src/application/products/use-cases/add-product-image.use-case.ts(10,36): error TS2307: Cannot find module '@/domain/entities/product-image.entity' or its corresponding type declarations.
src/application/products/use-cases/add-product-image.use-case.ts(11,42): error TS2307: Cannot find module '@/domain/exceptions/product-not-found.exception' or its corresponding type declarations.
src/application/products/use-cases/add-product-variant.use-case.ts(8,51): error TS2307: Cannot find module '@/domain/interfaces/repositories/product-variant.repository.interface' or its corresponding type declarations.
src/application/products/use-cases/add-product-variant.use-case.ts(9,44): error TS2307: Cannot find module '@/domain/interfaces/repositories/product.repository.interface' or its corresponding type declarations.
src/application/products/use-cases/add-product-variant.use-case.ts(10,38): error TS2307: Cannot find module '@/domain/entities/product-variant.entity' or its corresponding type declarations.
src/application/products/use-cases/add-product-variant.use-case.ts(11,42): error TS2307: Cannot find module '@/domain/exceptions/product-not-found.exception' or its corresponding type declarations.
src/application/products/use-cases/create-product.use-case.ts(1,31): error TS2307: Cannot find module '@/domain/entities/product.entity' or its corresponding type declarations.
src/application/products/use-cases/create-product.use-case.ts(2,44): error TS2307: Cannot find module '@/domain/interfaces/repositories/product.repository.interface' or its corresponding type declarations.
src/application/products/use-cases/create-product.use-case.ts(3,39): error TS2307: Cannot find module '@/domain/exceptions/duplicate-sku.exception' or its corresponding type declarations.
src/application/products/use-cases/create-product.use-case.ts(4,39): error TS2307: Cannot find module '@/domain/exceptions/invalid-price.exception' or its corresponding type declarations.
src/application/products/use-cases/delete-product.use-case.ts(1,44): error TS2307: Cannot find module '@/domain/interfaces/repositories/product.repository.interface' or its corresponding type declarations.
src/application/products/use-cases/delete-product.use-case.ts(2,42): error TS2307: Cannot find module '@/domain/exceptions/product-not-found.exception' or its corresponding type declarations.
src/application/products/use-cases/get-product.use-case.ts(1,31): error TS2307: Cannot find module '@/domain/entities/product.entity' or its corresponding type declarations.
src/application/products/use-cases/get-product.use-case.ts(2,44): error TS2307: Cannot find module '@/domain/interfaces/repositories/product.repository.interface' or its corresponding type declarations.
src/application/products/use-cases/get-product.use-case.ts(3,42): error TS2307: Cannot find module '@/domain/exceptions/product-not-found.exception' or its corresponding type declarations.
src/application/products/use-cases/list-products.use-case.ts(1,31): error TS2307: Cannot find module '@/domain/entities/product.entity' or its corresponding type declarations.
src/application/products/use-cases/list-products.use-case.ts(2,44): error TS2307: Cannot find module '@/domain/interfaces/repositories/product.repository.interface' or its corresponding type declarations.
src/application/products/use-cases/list-products.use-case.ts(66,48): error TS7006: Parameter 'product' implicitly has an 'any' type.
src/application/products/use-cases/remove-product-image.use-case.ts(8,49): error TS2307: Cannot find module '@/domain/interfaces/repositories/product-image.repository.interface' or its corresponding type declarations.
src/application/products/use-cases/toggle-product-status.use-case.ts(1,44): error TS2307: Cannot find module '@/domain/interfaces/repositories/product.repository.interface' or its corresponding type declarations.
src/application/products/use-cases/toggle-product-status.use-case.ts(2,42): error TS2307: Cannot find module '@/domain/exceptions/product-not-found.exception' or its corresponding type declarations.
src/application/products/use-cases/update-product.use-case.ts(8,44): error TS2307: Cannot find module '@/domain/interfaces/repositories/product.repository.interface' or its corresponding type declarations.
src/application/products/use-cases/update-product.use-case.ts(9,31): error TS2307: Cannot find module '@/domain/entities/product.entity' or its corresponding type declarations.
src/application/products/use-cases/update-product.use-case.ts(10,42): error TS2307: Cannot find module '@/domain/exceptions/product-not-found.exception' or its corresponding type declarations.
src/application/products/use-cases/update-variant-stock.use-case.ts(8,51): error TS2307: Cannot find module '@/domain/interfaces/repositories/product-variant.repository.interface' or its corresponding type declarations.
src/application/services/services.container.ts(8,45): error TS2307: Cannot find module '@/infrastructure/database/repositories/site-config.repository' or its corresponding type declarations.
src/application/wishlist/use-cases/add-to-wishlist.use-case.ts(5,45): error TS2307: Cannot find module '@/domain/interfaces/repositories/wishlist.repository.interface' or its corresponding type declarations.
src/application/wishlist/use-cases/check-wishlist-status.use-case.ts(5,45): error TS2307: Cannot find module '@/domain/interfaces/repositories/wishlist.repository.interface' or its corresponding type declarations.
src/application/wishlist/use-cases/get-wishlist.use-case.ts(5,45): error TS2307: Cannot find module '@/domain/interfaces/repositories/wishlist.repository.interface' or its corresponding type declarations.
src/application/wishlist/use-cases/remove-from-wishlist.use-case.ts(5,45): error TS2307: Cannot find module '@/domain/interfaces/repositories/wishlist.repository.interface' or its corresponding type declarations.
src/application/wishlist/wishlist.container.ts(5,43): error TS2307: Cannot find module '@/infrastructure/database/repositories/wishlist.repository' or its corresponding type declarations.
src/components/account/AccountRecentOrders.tsx(33,32): error TS7006: Parameter 'order' implicitly has an 'any' type.
src/components/account/dashboard/AccountRecentOrders.tsx(33,32): error TS7006: Parameter 'order' implicitly has an 'any' type.
src/components/account/orders/OrdersList.tsx(43,22): error TS7006: Parameter 'order' implicitly has an 'any' type.
src/components/account/OrdersList.tsx(43,22): error TS7006: Parameter 'order' implicitly has an 'any' type.
src/components/admin/AdminNotifications.tsx(113,33): error TS7006: Parameter 'n' implicitly has an 'any' type.
src/components/admin/create-product/ImageUploadSection.tsx(72,68): error TS7006: Parameter 'img' implicitly has an 'any' type.
src/components/admin/create-product/VariantsSection.tsx(83,8): error TS7006: Parameter 'v' implicitly has an 'any' type.
src/components/auth/login/LoginForm.tsx(12,34): error TS2307: Cannot find module '@/domain/value-objects/phone.value-object' or its corresponding type declarations.
src/components/auth/signup/SignupForm.tsx(13,34): error TS2307: Cannot find module '@/domain/value-objects/phone.value-object' or its corresponding type declarations.
src/components/collections/CollectionSection.tsx(60,26): error TS7006: Parameter 'product' implicitly has an 'any' type.
src/components/home/DynamicFeaturedCategories.tsx(102,16): error TS7006: Parameter 'category' implicitly has an 'any' type.
src/components/home/DynamicFeaturedCategories.tsx(105,19): error TS7006: Parameter 'category' implicitly has an 'any' type.
src/components/home/DynamicFeaturedProducts.tsx(74,26): error TS7006: Parameter 'product' implicitly has an 'any' type.
src/components/home/NewArrivals.tsx(87,26): error TS7006: Parameter 'product' implicitly has an 'any' type.
src/components/home/ServerFeaturedCategories.tsx(79,52): error TS7006: Parameter 'c' implicitly has an 'any' type.
src/components/home/ServerFeaturedCategories.tsx(84,47): error TS7006: Parameter 'category' implicitly has an 'any' type.
src/components/home/ServerFeaturedCategories.tsx(87,12): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/components/products/ProductReviews.tsx(213,25): error TS7006: Parameter 'review' implicitly has an 'any' type.
src/components/SearchDialog.tsx(107,37): error TS7006: Parameter 'product' implicitly has an 'any' type.
src/components/UserNotificationsBell.tsx(135,33): error TS7006: Parameter 'n' implicitly has an 'any' type.
src/domain/cart/entities/cart-item.test.ts(9,32): error TS2307: Cannot find module '@/domain/entities/cart-item.entity' or its corresponding type declarations.
src/domain/cart/interfaces/repositories/cart.repository.interface.ts(8,32): error TS2307: Cannot find module '@/domain/entities/cart-item.entity' or its corresponding type declarations.
src/domain/categories/interfaces/repositories/category.repository.interface.ts(8,32): error TS2307: Cannot find module '@/domain/entities/category.entity' or its corresponding type declarations.
src/domain/customers/interfaces/repositories/customer.repository.interface.ts(7,26): error TS2307: Cannot find module '@/domain/entities/customer.entity' or its corresponding type declarations.
src/domain/customers/interfaces/repositories/user-profile.repository.interface.ts(11,8): error TS2307: Cannot find module '@/domain/entities/user-profile.entity' or its corresponding type declarations.
src/domain/orders/entities/order.test.ts(13,8): error TS2307: Cannot find module '@/domain/entities/order.entity' or its corresponding type declarations.
src/domain/orders/interfaces/repositories/order.repository.interface.ts(8,29): error TS2307: Cannot find module '@/domain/entities/order.entity' or its corresponding type declarations.
src/domain/products/interfaces/repositories/product-image.repository.interface.ts(7,36): error TS2307: Cannot find module '@/domain/entities/product-image.entity' or its corresponding type declarations.
src/domain/products/interfaces/repositories/product-variant.repository.interface.ts(7,38): error TS2307: Cannot find module '@/domain/entities/product-variant.entity' or its corresponding type declarations.
src/domain/products/interfaces/repositories/product.repository.interface.ts(8,31): error TS2307: Cannot find module '@/domain/entities/product.entity' or its corresponding type declarations.
src/domain/site/interfaces/repositories/site-config.repository.interface.ts(7,36): error TS2307: Cannot find module '@/domain/entities/site-settings.entity' or its corresponding type declarations.
src/domain/site/interfaces/repositories/site-config.repository.interface.ts(11,8): error TS2307: Cannot find module '@/domain/entities/content-section.entity' or its corresponding type declarations.
src/domain/site/interfaces/repositories/site-config.repository.interface.ts(12,36): error TS2307: Cannot find module '@/domain/entities/featured-item.entity' or its corresponding type declarations.
src/infrastructure/database/repositories/address/address.repository.ts(8,44): error TS2307: Cannot find module '@/domain/interfaces/repositories/address.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/cart/cart.repository.ts(11,41): error TS2307: Cannot find module '@/domain/interfaces/repositories/cart.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/cart/cart.repository.ts(12,32): error TS2307: Cannot find module '@/domain/entities/cart-item.entity' or its corresponding type declarations.
src/infrastructure/database/repositories/categories/category.repository.ts(4,45): error TS2307: Cannot find module '@/domain/interfaces/repositories/category.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/categories/category.repository.ts(5,32): error TS2307: Cannot find module '@/domain/entities/category.entity' or its corresponding type declarations.
src/infrastructure/database/repositories/categories/category.repository.ts(6,43): error TS2307: Cannot find module '@/domain/exceptions/category-not-found.exception' or its corresponding type declarations.
src/infrastructure/database/repositories/coupons/coupon.repository.ts(10,43): error TS2307: Cannot find module '@/domain/interfaces/repositories/coupon.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/customers/customer.repository.ts(10,26): error TS2307: Cannot find module '@/domain/entities/customer.entity' or its corresponding type declarations.
src/infrastructure/database/repositories/customers/customer.repository.ts(11,45): error TS2307: Cannot find module '@/domain/interfaces/repositories/customer.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/customers/user-profile.repository.ts(10,48): error TS2307: Cannot find module '@/domain/interfaces/repositories/user-profile.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/customers/user-profile.repository.ts(14,8): error TS2307: Cannot find module '@/domain/entities/user-profile.entity' or its corresponding type declarations.
src/infrastructure/database/repositories/dashboard/dashboard.repository.ts(24,8): error TS2307: Cannot find module '@/domain/interfaces/repositories/dashboard.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/inventory/inventory.repository.ts(19,8): error TS2307: Cannot find module '@/domain/interfaces/repositories/inventory.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/notifications/notifications.repository.ts(12,50): error TS2307: Cannot find module '@/domain/interfaces/repositories/notifications.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/notifications/user-notifications.repository.ts(17,8): error TS2307: Cannot find module '@/domain/interfaces/repositories/user-notifications.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/orders/order.repository.ts(7,8): error TS2307: Cannot find module '@/domain/interfaces/repositories/order.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/orders/order.repository.ts(8,29): error TS2307: Cannot find module '@/domain/entities/order.entity' or its corresponding type declarations.
src/infrastructure/database/repositories/orders/order.repository.ts(12,8): error TS2307: Cannot find module '@/domain/value-objects/order-status.value-object' or its corresponding type declarations.
src/infrastructure/database/repositories/orders/order.repository.ts(13,40): error TS2307: Cannot find module '@/domain/exceptions/order-not-found.exception' or its corresponding type declarations.
src/infrastructure/database/repositories/orders/order.repository.ts(14,45): error TS2307: Cannot find module '@/domain/exceptions/invalid-order-status.exception' or its corresponding type declarations.
src/infrastructure/database/repositories/orders/order.repository.ts(100,28): error TS7006: Parameter 'item' implicitly has an 'any' type.
src/infrastructure/database/repositories/products/product-image.repository.ts(10,49): error TS2307: Cannot find module '@/domain/interfaces/repositories/product-image.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/products/product-image.repository.ts(11,36): error TS2307: Cannot find module '@/domain/entities/product-image.entity' or its corresponding type declarations.
src/infrastructure/database/repositories/products/product-variant.repository.ts(13,8): error TS2307: Cannot find module '@/domain/interfaces/repositories/product-variant.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/products/product-variant.repository.ts(14,38): error TS2307: Cannot find module '@/domain/entities/product-variant.entity' or its corresponding type declarations.
src/infrastructure/database/repositories/products/product.repository.ts(7,8): error TS2307: Cannot find module '@/domain/interfaces/repositories/product.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/products/product.repository.ts(8,31): error TS2307: Cannot find module '@/domain/entities/product.entity' or its corresponding type declarations.
src/infrastructure/database/repositories/products/product.repository.ts(9,42): error TS2307: Cannot find module '@/domain/exceptions/product-not-found.exception' or its corresponding type declarations.
src/infrastructure/database/repositories/products/product.repository.ts(10,39): error TS2307: Cannot find module '@/domain/exceptions/duplicate-sku.exception' or its corresponding type declarations.
src/infrastructure/database/repositories/reviews/review.repository.ts(11,8): error TS2307: Cannot find module '@/domain/interfaces/repositories/review.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/site/site-config.repository.ts(21,8): error TS2307: Cannot find module '@/domain/interfaces/repositories/site-config.repository.interface' or its corresponding type declarations.
src/infrastructure/database/repositories/site/site-config.repository.ts(25,8): error TS2307: Cannot find module '@/domain/entities/site-settings.entity' or its corresponding type declarations.
src/infrastructure/database/repositories/site/site-config.repository.ts(29,8): error TS2307: Cannot find module '@/domain/entities/content-section.entity' or its corresponding type declarations.
src/infrastructure/database/repositories/site/site-config.repository.ts(30,36): error TS2307: Cannot find module '@/domain/entities/featured-item.entity' or its corresponding type declarations.
src/infrastructure/database/repositories/wishlist/wishlist.repository.ts(10,45): error TS2307: Cannot find module '@/domain/interfaces/repositories/wishlist.repository.interface' or its corresponding type declarations.
src/lib/cache.ts(89,27): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/lib/cache.ts(91,43): error TS7006: Parameter 'img' implicitly has an 'any' type.
src/lib/cache.ts(119,28): error TS7006: Parameter 'c' implicitly has an 'any' type.
src/lib/cache.ts(139,16): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/lib/cache.ts(140,13): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/lib/cache.ts(181,27): error TS7006: Parameter 'img' implicitly has an 'any' type.
src/lib/cache.ts(189,18): error TS7006: Parameter 'v' implicitly has an 'any' type.
src/lib/cache.ts(190,15): error TS7006: Parameter 'v' implicitly has an 'any' type.
src/lib/cache.ts(213,43): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/lib/cache.ts(215,43): error TS7006: Parameter 'img' implicitly has an 'any' type.
src/lib/cache.ts(241,39): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/lib/cache.ts(244,27): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/lib/cache.ts(246,43): error TS7006: Parameter 'img' implicitly has an 'any' type.
src/lib/transformers/products.ts(21,40): error TS7006: Parameter 'v' implicitly has an 'any' type.
src/lib/transformers/products.ts(24,16): error TS7006: Parameter 'v' implicitly has an 'any' type.
src/lib/transformers/products.ts(26,10): error TS7006: Parameter 'acc' implicitly has an 'any' type.
src/lib/transformers/products.ts(26,15): error TS7006: Parameter 'v' implicitly has an 'any' type.
src/lib/transformers/products.ts(27,26): error TS7006: Parameter 'c' implicitly has an 'any' type.
src/lib/transformers/products.ts(34,33): error TS7006: Parameter 'img' implicitly has an 'any' type.
src/lib/transformers/products.ts(37,37): error TS7006: Parameter 'v' implicitly has an 'any' type.
src/lib/transformers/products.ts(48,35): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/server/routers/admin/coupons.ts(9,41): error TS2307: Cannot find module '@/infrastructure/database/repositories/coupon.repository' or its corresponding type declarations.
src/server/routers/admin/images.ts(11,36): error TS2307: Cannot find module '@/domain/entities/product-image.entity' or its corresponding type declarations.
src/server/routers/admin/inventory.ts(9,44): error TS2307: Cannot find module '@/infrastructure/database/repositories/inventory.repository' or its corresponding type declarations.
src/server/routers/admin/notifications.ts(9,48): error TS2307: Cannot find module '@/infrastructure/database/repositories/notifications.repository' or its corresponding type declarations.
src/server/routers/admin/reviews.ts(9,41): error TS2307: Cannot find module '@/infrastructure/database/repositories/review.repository' or its corresponding type declarations.
src/server/routers/admin/settings.ts(19,8): error TS2307: Cannot find module '@/domain/value-objects/content-schemas' or its corresponding type declarations.
src/server/routers/admin/settings.ts(134,26): error TS7006: Parameter 's' implicitly has an 'any' type.
src/server/routers/admin/settings.ts(204,27): error TS7006: Parameter 'h' implicitly has an 'any' type.
src/server/routers/admin/settings.ts(245,25): error TS7006: Parameter 'i' implicitly has an 'any' type.
src/server/routers/admin/settings.ts(264,27): error TS7006: Parameter 'i' implicitly has an 'any' type.
src/server/routers/admin/variants.ts(11,38): error TS2307: Cannot find module '@/domain/entities/product-variant.entity' or its corresponding type declarations.
src/server/routers/auth.ts(12,34): error TS2307: Cannot find module '@/domain/value-objects/phone.value-object' or its corresponding type declarations.
src/server/routers/public/categories.ts(23,18): error TS7006: Parameter 'c' implicitly has an 'any' type.
src/server/routers/public/categories.ts(24,21): error TS7006: Parameter 'c' implicitly has an 'any' type.
src/server/routers/public/categories.ts(72,33): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/server/routers/public/categories.ts(100,56): error TS7006: Parameter 'item' implicitly has an 'any' type.
src/server/routers/public/config.ts(82,26): error TS7006: Parameter 's' implicitly has an 'any' type.
src/server/routers/public/coupons.ts(9,41): error TS2307: Cannot find module '@/infrastructure/database/repositories/coupon.repository' or its corresponding type declarations.
src/server/routers/public/notifications.ts(9,52): error TS2307: Cannot find module '@/infrastructure/database/repositories/user-notifications.repository' or its corresponding type declarations.
src/server/routers/public/orders.ts(44,67): error TS7006: Parameter 'order' implicitly has an 'any' type.
src/server/routers/public/products.ts(44,43): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/server/routers/public/products.ts(50,12): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/server/routers/public/products.ts(63,33): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/server/routers/public/products.ts(65,45): error TS7006: Parameter 'img' implicitly has an 'any' type.
src/server/routers/public/products.ts(123,29): error TS7006: Parameter 'img' implicitly has an 'any' type.
src/server/routers/public/products.ts(131,20): error TS7006: Parameter 'v' implicitly has an 'any' type.
src/server/routers/public/products.ts(132,17): error TS7006: Parameter 'v' implicitly has an 'any' type.
src/server/routers/public/products.ts(157,51): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/server/routers/public/products.ts(159,45): error TS7006: Parameter 'img' implicitly has an 'any' type.
src/server/routers/public/products.ts(194,10): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/server/routers/public/products.ts(205,61): error TS7006: Parameter 'p' implicitly has an 'any' type.
src/server/routers/public/products.ts(207,45): error TS7006: Parameter 'img' implicitly has an 'any' type.
src/server/routers/public/reviews.ts(9,41): error TS2307: Cannot find module '@/infrastructure/database/repositories/review.repository' or its corresponding type declarations.
